Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
19,US-2021-100018,2019-11-05,2019-11-10,First Class,CG-10018,Customer 18,Home Office,United States,City 18,State 18,10018,East,FUR-TEC-1018,Technology,Machines,Machines 18,308.27,10,0.12,41.67
20,US-2022-100019,2022-01-16,2022-01-25,Second Class,CG-10019,Customer 19,Home Office,United States,City 19,State 19,10019,West,FUR-OFF-1019,Office Supplies,Storage,Storage 19,735.6,6,0.07,110.3
21,US-2019-100020,2021-07-27,2021-08-06,Second Class,CG-10020,Customer 20,Consumer,United States,City 20,State 0,10020,Central,FUR-OFF-1020,Office Supplies,Appliances,Appliances 20,1728.98,5,0.08,361.11
22,US-2020-100021,2021-09-14,2021-09-19,Second Class,CG-10021,Customer 21,Corporate,United States,City 21,State 1,10021,South,FUR-OFF-1021,Office Supplies,Storage,Storage 21,300.05,9,0.47,43.75
23,US-2021-100022,2022-12-08,2022-12-13,First Class,CG-10022,Customer 22,Corporate,United States,City 22,State 2,10022,Central,FUR-TEC-1022,Technology,Accessories,Accessories 22,4731.23,1,0.1,1124.81
24,US-2022-100023,2019-10-18,2019-10-25,First Class,CG-10023,Customer 23,Corporate,United States,City 23,State 3,10023,East,FUR-FUR-1023,Furniture,Bookcases,Bookcases 23,4628.83,5,0.2,669.5
25,US-2019-100024,2020-08-31,2020-09-03,Second Class,CG-10024,Customer 24,Home Office,United States,City 24,State 4,10024,East,FUR-FUR-1024,Furniture,Tables,Tables 24,112.04,5,0.28,11.9
26,US-2020-100025,2021-05-27,2021-06-03,Same Day,CG-10025,Customer 25,Consumer,United States,City 25,State 5,10025,South,FUR-OFF-1025,Office Supplies,Binders,Binders 25,4782.46,4,0.16,424.25
27,US-2021-100026,2019-04-19,2019-04-29,Standard Class,CG-10026,Customer 26,Corporate,United States,City 26,State 6,10026,East,FUR-OFF-1026,Office Supplies,Storage,Storage 26,3841.98,5,0.2,662.48
28,US-2022-100027,2021-03-12,2021-03-19,Standard Class,CG-10027,Customer 27,Home Office,United States,City 27,State 7,10027,South,FUR-TEC-1027,Technology,Accessories,Accessories 27,2078.43,1,0.09,541.94
29,US-2019-100028,2020-12-21,2020-12-29,Second Class,CG-10028,Customer 28,Home Office,United States,City 28,State 8,10028,West,FUR-OFF-1028,Office Supplies,Appliances,Appliances 28,1351.05,10,0.22,241.19
30,US-2020-100029,2020-07-18,2020-07-21,Second Class,CG-10029,Customer 29,Home Office,United States,City 29,State 9,10029,South,FUR-TEC-1029,Technology,Machines,Machines 29,490.69,1,0.42,72.65
31,US-2021-100030,2021-10-03,2021-10-13,Standard Class,CG-10030,Customer 30,Corporate,United States,City 30,State 10,10030,East,FUR-TEC-1030,Technology,Phones,Phones 30,4435.17,9,0.38,399.21
32,US-2022-100031,2021-02-19,2021-02-21,First Class,CG-10031,Customer 31,Home Office,United States,City 31,State 11,10031,West,FUR-FUR-1031,Furniture,Tables,Tables 31,3866.76,1,0.14,915.61
33,US-2019-100032,2019-10-29,2019-11-03,Second Class,CG-10032,Customer 32,Home Office,United States,City 32,State 12,10032,Central,FUR-OFF-1032,Office Supplies,Storage,Storage 32,320.41,2,0.36,53.4
34,US-2020-100033,2019-08-28,2019-08-30,Same Day,CG-10033,Customer 33,Corporate,United States,City 33,State 13,10033,West,FUR-FUR-1033,Furniture,Tables,Tables 33,2407.99,8,0.1,586.02
35,US-2021-100034,2020-05-25,2020-05-31,First Class,CG-10034,Customer 34,Consumer,United States,City 34,State 14,10034,East,FUR-TEC-1034,Technology,Phones,Phones 34,4945.03,1,0.47,366.38
36,US-2022-100035,2020-07-05,2020-07-08,Standard Class,CG-10035,Customer 35,Consumer,United States,City 35,State 15,10035,West,FUR-TEC-1035,Technology,Accessories,Accessories 35,2397.11,1,0.1,567.88
37,US-2019-100036,2021-05-10,2021-05-11,First Class,CG-10036,Customer 36,Consumer,United States,City 36,State 16,10036,Central,FUR-TEC-1036,Technology,Phones,Phones 36,4447.5,8,0.29,615.49
38,US-2020-100037,2019-08-04,2019-08-13,Same Day,CG-10037,Customer 37,Home Office,United States,City 37,State 17,10037,South,FUR-TEC-1037,Technology,Machines,Machines 37,2503.49,1,0.38,166.14
39,US-2021-100038,2021-10-25,2021-10-26,First Class,CG-10038,Customer 38,Home Office,United States,City 38,State 18,10038,West,FUR-OFF-1038,Office Supplies,Binders,Binders 38,3666.17,10,0.25,778.61
40,US-2022-100039,2019-07-28,2019-07-30,Same Day,CG-10039,Customer 39,Corporate,United States,City 39,State 19,10039,West,FUR-OFF-1039,Office Supplies,Appliances,Appliances 39,4200.89,1,0.07,675.35
41,US-2019-100040,2021-08-04,2021-08-14,Same Day,CG-10040,Customer 40,Corporate,United States,City 40,State 0,10040,Central,FUR-FUR-1040,Furniture,Chairs,Chairs 40,1031.92,10,0.14,101.75
42,US-2020-100041,2019-11-10,2019-11-12,Standard Class,CG-10041,Customer 41,Consumer,United States,City 41,State 1,10041,Central,FUR-TEC-1041,Technology,Machines,Machines 41,1288.85,3,0.38,127.66
43,US-2021-100042,2022-09-24,2022-09-29,Same Day,CG-10042,Customer 42,Consumer,United States,City 42,State 2,10042,East,FUR-OFF-1042,Office Supplies,Storage,Storage 42,3152.05,6,0.15,373.05
44,US-2022-100043,2022-04-16,2022-04-24,First Class,CG-10043,Customer 43,Consumer,United States,City 43,State 3,10043,Central,FUR-FUR-1043,Furniture,Furnishings,Furnishings 43,1238.02,5,0.33,208.88
45,US-2019-100044,2022-04-15,2022-04-24,Same Day,CG-10044,Customer 44,Home Office,United States,City 44,State 4,10044,West,FUR-FUR-1044,Furniture,Chairs,Chairs 44,91.05,10,0.47,13.1
46,US-2020-100045,2021-08-12,2021-08-19,Second Class,CG-10045,Customer 45,Home Office,United States,City 45,State 5,10045,West,FUR-FUR-1045,Furniture,Bookcases,Bookcases 45,2114.88,10,0.09,236.27
47,US-2021-100046,2022-06-10,2022-06-20,Standard Class,CG-10046,Customer 46,Corporate,United States,City 46,State 6,10046,South,FUR-TEC-1046,Technology,Accessories,Accessories 46,3496.75,9,0.29,431.46
48,US-2022-100047,2019-10-21,2019-10-26,Second Class,CG-10047,Customer 47,Corporate,United States,City 47,State 7,10047,South,FUR-OFF-1047,Office Supplies,Appliances,Appliances 47,3785.12,8,0.34,614.69
49,US-2019-100048,2020-05-28,2020-05-31,Same Day,CG-10048,Customer 48,Corporate,United States,City 48,State 8,10048,East,FUR-TEC-1048,Technology,Phones,Phones 48,2982.71,7,0.2,698.46
50,US-2020-100049,2019-05-08,2019-05-09,First Class,CG-10049,Customer 49,Corporate,United States,City 49,State 9,10049,Central,FUR-TEC-1049,Technology,Phones,Phones 49,3247.36,10,0.21,741.74
51,US-2021-100050,2019-09-07,2019-09-17,First Class,CG-10050,Customer 50,Consumer,United States,City 0,State 10,10050,South,FUR-FUR-1050,Furniture,Bookcases,Bookcases 50,4679.63,8,0.45,738.09
52,US-2022-100051,2020-10-15,2020-10-19,Second Class,CG-10051,Customer 51,Corporate,United States,City 1,State 11,10051,South,FUR-FUR-1051,Furniture,Bookcases,Bookcases 51,3786.05,3,0.14,327.53
53,US-2019-100052,2019-07-23,2019-07-24,Standard Class,CG-10052,Customer 52,Corporate,United States,City 2,State 12,10052,East,FUR-OFF-1052,Office Supplies,Appliances,Appliances 52,4731.74,10,0.06,752.45
54,US-2020-100053,2019-04-18,2019-04-20,Standard Class,CG-10053,Customer 53,Home Office,United States,City 3,State 13,10053,Central,FUR-TEC-1053,Technology,Copiers,Copiers 53,1065.51,6,0.27,186.33
55,US-2021-100054,2020-12-26,2021-01-01,Standard Class,CG-10054,Customer 54,Corporate,United States,City 4,State 14,10054,West,FUR-TEC-1054,Technology,Phones,Phones 54,3608.06,8,0.34,592.28
56,US-2022-100055,2022-09-03,2022-09-08,Standard Class,CG-10055,Customer 55,Home Office,United States,City 5,State 15,10055,West,FUR-TEC-1055,Technology,Phones,Phones 55,3245.67,3,0.45,182.95
57,US-2019-100056,2020-09-04,2020-09-09,Standard Class,CG-10056,Customer 56,Corporate,United States,City 6,State 16,10056,Central,FUR-FUR-1056,Furniture,Bookcases,Bookcases 56,2032.82,8,0.14,198.19
58,US-2020-100057,2022-06-17,2022-06-27,Standard Class,CG-10057,Customer 57,Corporate,United States,City 7,State 17,10057,Central,FUR-TEC-1057,Technology,Accessories,Accessories 57,793.35,5,0.1,127.77
59,US-2021-100058,2022-09-06,2022-09-09,Same Day,CG-10058,Customer 58,Home Office,United States,City 8,State 18,10058,East,FUR-TEC-1058,Technology,Copiers,Copiers 58,4629.53,2,0.18,899.07
60,US-2022-100059,2019-04-02,2019-04-10,Second Class,CG-10059,Customer 59,Corporate,United States,City 9,State 19,10059,East,FUR-FUR-1059,Furniture,Tables,Tables 59,2395.81,4,0.16,553.97
61,US-2019-100060,2020-09-13,2020-09-21,First Class,CG-10060,Customer 60,Corporate,United States,City 10,State 0,10060,South,FUR-TEC-1060,Technology,Machines,Machines 60,3975.75,9,0.07,563.53
62,US-2020-100061,2020-02-12,2020-02-14,Same Day,CG-10061,Customer 61,Consumer,United States,City 11,State 1,10061,Central,FUR-OFF-1061,Office Supplies,Art,Art 61,3293.08,3,0.12,742.06
63,US-2021-100062,2019-01-26,2019-02-01,First Class,CG-10062,Customer 62,Corporate,United States,City 12,State 2,10062,Central,FUR-TEC-1062,Technology,Copiers,Copiers 62,2926.58,5,0.44,280.72
64,US-2022-100063,2020-08-17,2020-08-25,First Class,CG-10063,Customer 63,Home Office,United States,City 13,State 3,10063,West,FUR-FUR-1063,Furniture,Bookcases,Bookcases 63,2282.23,4,0.16,330.34
65,US-2019-100064,2020-05-22,2020-05-23,Second Class,CG-10064,Customer 64,Consumer,United States,City 14,State 4,10064,East,FUR-FUR-1064,Furniture,Furnishings,Furnishings 64,4961.09,9,0.13,743.84
66,US-2020-100065,2022-10-29,2022-11-03,Same Day,CG-10065,Customer 65,Corporate,United States,City 15,State 5,10065,Central,FUR-FUR-1065,Furniture,Bookcases,Bookcases 65,171.36,10,0.17,30.91
67,US-2021-100066,2019-02-05,2019-02-06,Same Day,CG-10066,Customer 66,Home Office,United States,City 16,State 6,10066,South,FUR-FUR-1066,Furniture,Furnishings,Furnishings 66,177.49,8,0.49,19.64
68,US-2022-100067,2019-06-09,2019-06-10,Same Day,CG-10067,Customer 67,Corporate,United States,City 17,State 7,10067,South,FUR-TEC-1067,Technology,Accessories,Accessories 67,2497.78,5,0.43,334.11
69,US-2019-100068,2020-12-17,2020-12-23,Same Day,CG-10068,Customer 68,Home Office,United States,City 18,State 8,10068,West,FUR-FUR-1068,Furniture,Tables,Tables 68,4560.31,4,0.07,985.25
70,US-2020-100069,2022-05-05,2022-05-13,Standard Class,CG-10069,Customer 69,Consumer,United States,City 19,State 9,10069,Central,FUR-TEC-1069,Technology,Machines,Machines 69,1375.3,6,0.22,194.22
71,US-2021-100070,2019-01-23,2019-01-29,Standard Class,CG-10070,Customer 70,Consumer,United States,City 20,State 10,10070,South,FUR-TEC-1070,Technology,Machines,Machines 70,3681.56,3,0.1,531.25
72,US-2022-100071,2019-09-12,2019-09-18,Second Class,CG-10071,Customer 71,Home Office,United States,City 21,State 11,10071,East,FUR-FUR-1071,Furniture,Furnishings,Furnishings 71,1270.06,2,0.3,121.9
73,US-2019-100072,2020-02-17,2020-02-22,First Class,CG-10072,Customer 72,Corporate,United States,City 22,State 12,10072,South,FUR-FUR-1072,Furniture,Tables,Tables 72,3483.72,10,0.17,624.2
74,US-2020-100073,2020-08-30,2020-09-08,First Class,CG-10073,Customer 73,Corporate,United States,City 23,State 13,10073,Central,FUR-FUR-1073,Furniture,Chairs,Chairs 73,4744.98,4,0.46,558.05
75,US-2021-100074,2022-08-29,2022-09-07,Second Class,CG-10074,Customer 74,Consumer,United States,City 24,State 14,10074,East,FUR-OFF-1074,Office Supplies,Storage,Storage 74,1655.58,5,0.36,187.93
76,US-2022-100075,2020-12-11,2020-12-17,Second Class,CG-10075,Customer 75,Corporate,United States,City 25,State 15,10075,South,FUR-OFF-1075,Office Supplies,Art,Art 75,2171.78,7,0.05,580.86
77,US-2019-100076,2019-06-11,2019-06-17,Standard Class,CG-10076,Customer 76,Home Office,United States,City 26,State 16,10076,East,FUR-OFF-1076,Office Supplies,Storage,Storage 76,4405.76,2,0.2,452.13
78,US-2020-100077,2019-03-20,2019-03-25,Same Day,CG-10077,Customer 77,Home Office,United States,City 27,State 17,10077,East,FUR-TEC-1077,Technology,Machines,Machines 77,4306.96,2,0.03,1204.5
79,US-2021-100078,2019-03-05,2019-03-15,Same Day,CG-10078,Customer 78,Home Office,United States,City 28,State 18,10078,West,FUR-OFF-1078,Office Supplies,Binders,Binders 78,2185.79,3,0.24,442.97
80,US-2022-100079,2019-11-08,2019-11-14,Same Day,CG-10079,Customer 79,Home Office,United States,City 29,State 19,10079,East,FUR-FUR-1079,Furniture,Bookcases,Bookcases 79,3488.09,10,0.01,415.38
81,US-2019-100080,2021-07-15,2021-07-23,Standard Class,CG-10080,Customer 80,Home Office,United States,City 30,State 0,10080,South,FUR-TEC-1080,Technology,Copiers,Copiers 80,657.07,10,0.49,94.94
82,US-2020-100081,2022-09-16,2022-09-17,First Class,CG-10081,Customer 81,Corporate,United States,City 31,State 1,10081,West,FUR-FUR-1081,Furniture,Chairs,Chairs 81,3959.55,7,0.4,607.82
83,US-2021-100082,2019-12-25,2019-12-29,Second Class,CG-10082,Customer 82,Corporate,United States,City 32,State 2,10082,East,FUR-OFF-1082,Office Supplies,Storage,Storage 82,3696.87,7,0.22,744.97
84,US-2022-100083,2021-10-03,2021-10-07,Same Day,CG-10083,Customer 83,Corporate,United States,City 33,State 3,10083,East,FUR-FUR-1083,Furniture,Bookcases,Bookcases 83,774.61,10,0.18,80.15
85,US-2019-100084,2021-06-04,2021-06-10,Same Day,CG-10084,Customer 84,Home Office,United States,City 34,State 4,10084,Central,FUR-FUR-1084,Furniture,Furnishings,Furnishings 84,4452.32,7,0.12,970.41
86,US-2020-100085,2022-02-11,2022-02-19,Second Class,CG-10085,Customer 85,Consumer,United States,City 35,State 5,10085,Central,FUR-FUR-1085,Furniture,Tables,Tables 85,3683.19,5,0.27,585.12
87,US-2021-100086,2020-03-28,2020-03-30,Second Class,CG-10086,Customer 86,Home Office,United States,City 36,State 6,10086,South,FUR-FUR-1086,Furniture,Tables,Tables 86,4198.83,8,0.43,702.15
88,US-2022-100087,2021-08-24,2021-08-26,Second Class,CG-10087,Customer 87,Home Office,United States,City 37,State 7,10087,East,FUR-OFF-1087,Office Supplies,Art,Art 87,1320.37,1,0.19,220.15
89,US-2019-100088,2021-03-19,2021-03-28,Second Class,CG-10088,Customer 88,Corporate,United States,City 38,State 8,10088,East,FUR-FUR-1088,Furniture,Tables,Tables 88,1288.93,9,0.15,304.38
90,US-2020-100089,2019-10-24,2019-10-29,Standard Class,CG-10089,Customer 89,Home Office,United States,City 39,State 9,10089,South,FUR-FUR-1089,Furniture,Tables,Tables 89,1723.48,1,0.09,179.39
91,US-2021-100090,2022-08-12,2022-08-14,Second Class,CG-10090,Customer 90,Consumer,United States,City 40,State 10,10090,South,FUR-OFF-1090,Office Supplies,Art,Art 90,3879.41,10,0.18,716.28
92,US-2022-100091,2020-07-25,2020-08-01,Same Day,CG-10091,Customer 91,Home Office,United States,City 41,State 11,10091,East,FUR-FUR-1091,Furniture,Furnishings,Furnishings 91,1393.31,2,0.01,332.06
93,US-2019-100092,2020-01-28,2020-01-30,First Class,CG-10092,Customer 92,Home Office,United States,City 42,State 12,10092,Central,FUR-FUR-1092,Furniture,Tables,Tables 92,2758.96,6,0.18,539.78
94,US-2020-100093,2020-07-10,2020-07-13,Same Day,CG-10093,Customer 93,Corporate,United States,City 43,State 13,10093,West,FUR-TEC-1093,Technology,Machines,Machines 93,2935.3,1,0.25,281.66
95,US-2021-100094,2022-09-17,2022-09-19,Second Class,CG-10094,Customer 94,Consumer,United States,City 44,State 14,10094,South,FUR-OFF-1094,Office Supplies,Storage,Storage 94,377.99,5,0.39,61.21
96,US-2022-100095,2022-03-25,2022-03-27,Standard Class,CG-10095,Customer 95,Consumer,United States,City 45,State 15,10095,South,FUR-OFF-1095,Office Supplies,Art,Art 95,1916.7,2,0.09,246.01
97,US-2019-100096,2019-07-11,2019-07-19,Standard Class,CG-10096,Customer 96,Home Office,United States,City 46,State 16,10096,West,FUR-OFF-1096,Office Supplies,Appliances,Appliances 96,41.63,8,0.31,6.62
98,US-2020-100097,2020-02-17,2020-02-25,Second Class,CG-10097,Customer 97,Corporate,United States,City 47,State 17,10097,West,FUR-OFF-1097,Office Supplies,Appliances,Appliances 97,762.69,9,0.3,59.67
99,US-2021-100098,2019-05-19,2019-05-25,Second Class,CG-10098,Customer 98,Corporate,United States,City 48,State 18,10098,Central,FUR-FUR-1098,Furniture,Chairs,Chairs 98,4371.96,9,0.45,480.18
100,US-2022-100099,2019-04-09,2019-04-17,Same Day,CG-10099,Customer 99,Home Office,United States,City 49,State 19,10099,West,FUR-TEC-1099,Technology,Machines,Machines 99,3569.05,2,0.14,356.03
101,US-2019-100100,2020-04-23,2020-04-29,Second Class,CG-10100,Customer 100,Home Office,United States,City 0,State 0,10100,West,FUR-FUR-1100,Furniture,Furnishings,Furnishings 0,3496.6,6,0.3,454.13
102,US-2020-100101,2021-09-19,2021-09-26,Standard Class,CG-10101,Customer 101,Consumer,United States,City 1,State 1,10101,East,FUR-TEC-1101,Technology,Copiers,Copiers 1,1464.56,2,0.39,181.33
103,US-2021-100102,2022-05-15,2022-05-17,Same Day,CG-10102,Customer 102,Consumer,United States,City 2,State 2,10102,West,FUR-OFF-1102,Office Supplies,Storage,Storage 2,3549.81,6,0.38,570.0
104,US-2022-100103,2019-11-11,2019-11-20,First Class,CG-10103,Customer 103,Home Office,United States,City 3,State 3,10103,East,FUR-FUR-1103,Furniture,Chairs,Chairs 3,1573.85,10,0.3,315.24
105,US-2019-100104,2022-06-22,2022-06-25,Same Day,CG-10104,Customer 104,Corporate,United States,City 4,State 4,10104,East,FUR-OFF-1104,Office Supplies,Art,Art 4,1562.25,7,0.02,347.61
106,US-2020-100105,2021-05-10,2021-05-11,Second Class,CG-10105,Customer 105,Corporate,United States,City 5,State 5,10105,West,FUR-OFF-1105,Office Supplies,Binders,Binders 5,2755.32,3,0.3,316.58
107,US-2021-100106,2019-11-07,2019-11-08,First Class,CG-10106,Customer 106,Home Office,United States,City 6,State 6,10106,South,FUR-TEC-1106,Technology,Machines,Machines 6,2908.28,5,0.34,513.88
108,US-2022-100107,2022-05-21,2022-05-24,First Class,CG-10107,Customer 107,Consumer,United States,City 7,State 7,10107,South,FUR-TEC-1107,Technology,Accessories,Accessories 7,908.2,7,0.32,111.09
109,US-2019-100108,2021-05-10,2021-05-19,Second Class,CG-10108,Customer 108,Home Office,United States,City 8,State 8,10108,South,FUR-OFF-1108,Office Supplies,Appliances,Appliances 8,3712.54,2,0.26,633.34
110,US-2020-100109,2019-07-25,2019-08-04,Second Class,CG-10109,Customer 109,Corporate,United States,City 9,State 9,10109,East,FUR-OFF-1109,Office Supplies,Binders,Binders 9,171.59,10,0.35,22.73
111,US-2021-100110,2022-03-18,2022-03-21,Same Day,CG-10110,Customer 110,Home Office,United States,City 10,State 10,10110,Central,FUR-TEC-1110,Technology,Accessories,Accessories 10,553.94,1,0.21,112.91
112,US-2022-100111,2020-10-10,2020-10-11,Same Day,CG-10111,Customer 111,Home Office,United States,City 11,State 11,10111,Central,FUR-OFF-1111,Office Supplies,Art,Art 11,1911.54,8,0.34,227.93
113,US-2019-100112,2020-01-07,2020-01-14,Standard Class,CG-10112,Customer 112,Home Office,United States,City 12,State 12,10112,South,FUR-FUR-1112,Furniture,Furnishings,Furnishings 12,1975.01,8,0.11,512.53
114,US-2020-100113,2020-11-03,2020-11-11,Same Day,CG-10113,Customer 113,Home Office,United States,City 13,State 13,10113,West,FUR-TEC-1113,Technology,Phones,Phones 13,4561.77,1,0.5,340.14
115,US-2021-100114,2019-09-01,2019-09-08,Second Class,CG-10114,Customer 114,Home Office,United States,City 14,State 14,10114,East,FUR-OFF-1114,Office Supplies,Art,Art 14,820.09,9,0.06,95.1
116,US-2022-100115,2021-03-16,2021-03-21,Second Class,CG-10115,Customer 115,Home Office,United States,City 15,State 15,10115,West,FUR-OFF-1115,Office Supplies,Art,Art 15,761.98,4,0.32,137.52
117,US-2019-100116,2020-04-01,2020-04-07,Standard Class,CG-10116,Customer 116,Corporate,United States,City 16,State 16,10116,West,FUR-TEC-1116,Technology,Copiers,Copiers 16,1288.78,5,0.09,124.24
118,US-2020-100117,2019-12-22,2019-12-30,First Class,CG-10117,Customer 117,Home Office,United States,City 17,State 17,10117,West,FUR-OFF-1117,Office Supplies,Appliances,Appliances 17,4032.83,8,0.48,466.13
119,US-2021-100118,2021-05-03,2021-05-07,Second Class,CG-10118,Customer 118,Corporate,United States,City 18,State 18,10118,West,FUR-OFF-1118,Office Supplies,Art,Art 18,2108.28,9,0.22,272.7
120,US-2022-100119,2021-03-31,2021-04-04,Second Class,CG-10119,Customer 119,Corporate,United States,City 19,State 19,10119,East,FUR-FUR-1119,Furniture,Furnishings,Furnishings 19,3461.04,8,0.1,686.19
121,US-2019-100120,2019-10-24,2019-10-29,Standard Class,CG-10120,Customer 120,Consumer,United States,City 20,State 0,10120,Central,FUR-OFF-1120,Office Supplies,Binders,Binders 20,4285.95,2,0.07,593.17
122,US-2020-100121,2019-07-16,2019-07-21,Standard Class,CG-10121,Customer 121,Corporate,United States,City 21,State 1,10121,East,FUR-TEC-1121,Technology,Accessories,Accessories 21,1953.98,6,0.24,340.51
123,US-2021-100122,2019-03-08,2019-03-10,Standard Class,CG-10122,Customer 122,Home Office,United States,City 22,State 2,10122,West,FUR-OFF-1122,Office Supplies,Storage,Storage 22,417.11,7,0.08,94.36
124,US-2022-100123,2020-09-16,2020-09-25,Same Day,CG-10123,Customer 123,Corporate,United States,City 23,State 3,10123,Central,FUR-FUR-1123,Furniture,Chairs,Chairs 23,982.02,10,0.12,96.16
125,US-2019-100124,2021-12-01,2021-12-09,Second Class,CG-10124,Customer 124,Corporate,United States,City 24,State 4,10124,East,FUR-FUR-1124,Furniture,Chairs,Chairs 24,3141.81,6,0.48,251.75
126,US-2020-100125,2021-02-16,2021-02-21,Same Day,CG-10125,Customer 125,Corporate,United States,City 25,State 5,10125,South,FUR-TEC-1125,Technology,Phones,Phones 25,813.61,3,0.02,104.01
127,US-2021-100126,2019-08-17,2019-08-21,First Class,CG-10126,Customer 126,Corporate,United States,City 26,State 6,10126,South,FUR-FUR-1126,Furniture,Furnishings,Furnishings 26,3237.26,8,0.33,290.83
128,US-2022-100127,2020-09-04,2020-09-05,First Class,CG-10127,Customer 127,Home Office,United States,City 27,State 7,10127,West,FUR-TEC-1127,Technology,Accessories,Accessories 27,4521.53,7,0.05,632.72
129,US-2019-100128,2021-07-16,2021-07-20,Standard Class,CG-10128,Customer 128,Corporate,United States,City 28,State 8,10128,Central,FUR-OFF-1128,Office Supplies,Binders,Binders 28,2009.28,2,0.33,317.42
130,US-2020-100129,2021-04-05,2021-04-06,Same Day,CG-10129,Customer 129,Corporate,United States,City 29,State 9,10129,West,FUR-TEC-1129,Technology,Copiers,Copiers 29,4885.49,6,0.11,477.34
131,US-2021-100130,2022-04-24,2022-04-26,First Class,CG-10130,Customer 130,Corporate,United States,City 30,State 10,10130,South,FUR-TEC-1130,Technology,Copiers,Copiers 30,292.23,1,0.35,23.44
132,US-2022-100131,2022-04-13,2022-04-17,Standard Class,CG-10131,Customer 131,Corporate,United States,City 31,State 11,10131,South,FUR-TEC-1131,Technology,Copiers,Copiers 31,1710.31,1,0.41,146.72
